Added Component: Designator=A1(Arduino Mega)
Added Component: Designator=j1(CONECTOR JST M1)
Added Component: Designator=j2(CONECTOR JST M2)
Added Component: Designator=j3(CONECTOR JST M3)
Added Component: Designator=j4(CONECTOR JST M4)
Added Component: Designator=l1(L298N_Conectores)
Added Component: Designator=l2(L298N_Conectores)
Added Component: Designator=PJ1(DC Power Jack5V)
Added Component: Designator=PJ12V(DC Power Jack12V)
Added Pin To Net: NetName=NetA1_2 Pin=A1-2
Added Pin To Net: NetName=NetA1_3 Pin=A1-3
Added Pin To Net: NetName=NetA1_4 Pin=A1-4
Added Pin To Net: NetName=NetA1_5 Pin=A1-5
Added Pin To Net: NetName=NetA1_22 Pin=A1-22
Added Pin To Net: NetName=NetA1_23 Pin=A1-23
Added Pin To Net: NetName=NetA1_24 Pin=A1-24
Added Pin To Net: NetName=NetA1_25 Pin=A1-25
Added Pin To Net: NetName=NetA1_27 Pin=A1-27
Added Pin To Net: NetName=NetA1_28 Pin=A1-28
Added Pin To Net: NetName=NetA1_29 Pin=A1-29
Added Pin To Net: NetName=NetA1_30 Pin=A1-30
Added Pin To Net: NetName=GND Pin=A1-GND
Added Pin To Net: NetName=GND Pin=A1-GND
Added Pin To Net: NetName=GND Pin=A1-GND
Added Pin To Net: NetName=GND Pin=A1-GND
Added Pin To Net: NetName=GND Pin=A1-GND
Added Pin To Net: NetName=+12 Pin=A1-VIN
Added Pin To Net: NetName=GND Pin=j1-GND1
Added Pin To Net: NetName=Netj1_M1- Pin=j1-M1-
Added Pin To Net: NetName=Netj1_M1+ Pin=j1-M1+
Added Pin To Net: NetName=+5 Pin=j1-VCC1
Added Pin To Net: NetName=GND Pin=j2-GND2
Added Pin To Net: NetName=Netj2_M2- Pin=j2-M2-
Added Pin To Net: NetName=Netj2_M2+ Pin=j2-M2+
Added Pin To Net: NetName=+5 Pin=j2-VCC2
Added Pin To Net: NetName=GND Pin=j3-GND3
Added Pin To Net: NetName=Netj3_M3- Pin=j3-M3-
Added Pin To Net: NetName=Netj3_M3+ Pin=j3-M3+
Added Pin To Net: NetName=+5 Pin=j3-VCC3
Added Pin To Net: NetName=GND Pin=j4-GND4
Added Pin To Net: NetName=Netj4_M4- Pin=j4-M4-
Added Pin To Net: NetName=Netj4_M4+ Pin=j4-M4+
Added Pin To Net: NetName=+5 Pin=j4-VCC4
Added Pin To Net: NetName=+5 Pin=l1-5V
Added Pin To Net: NetName=+12 Pin=l1-12V
Added Pin To Net: NetName=NetA1_2 Pin=l1-ENA
Added Pin To Net: NetName=NetA1_3 Pin=l1-ENB
Added Pin To Net: NetName=GND Pin=l1-GND
Added Pin To Net: NetName=NetA1_22 Pin=l1-IN1
Added Pin To Net: NetName=NetA1_23 Pin=l1-IN2
Added Pin To Net: NetName=NetA1_24 Pin=l1-IN3
Added Pin To Net: NetName=NetA1_25 Pin=l1-IN4
Added Pin To Net: NetName=Netj1_M1+ Pin=l1-OUT1
Added Pin To Net: NetName=Netj1_M1- Pin=l1-OUT2
Added Pin To Net: NetName=Netj2_M2+ Pin=l1-OUT3
Added Pin To Net: NetName=Netj2_M2- Pin=l1-OUT4
Added Pin To Net: NetName=+5 Pin=l2-5V
Added Pin To Net: NetName=+12 Pin=l2-12V
Added Pin To Net: NetName=NetA1_4 Pin=l2-ENA
Added Pin To Net: NetName=NetA1_5 Pin=l2-ENB
Added Pin To Net: NetName=GND Pin=l2-GND
Added Pin To Net: NetName=NetA1_27 Pin=l2-IN1
Added Pin To Net: NetName=NetA1_28 Pin=l2-IN2
Added Pin To Net: NetName=NetA1_29 Pin=l2-IN3
Added Pin To Net: NetName=NetA1_30 Pin=l2-IN4
Added Pin To Net: NetName=Netj3_M3+ Pin=l2-OUT1
Added Pin To Net: NetName=Netj3_M3- Pin=l2-OUT2
Added Pin To Net: NetName=Netj4_M4+ Pin=l2-OUT3
Added Pin To Net: NetName=Netj4_M4- Pin=l2-OUT4
Added Pin To Net: NetName=GND Pin=PJ1-GND
Added Pin To Net: NetName=GND Pin=PJ1-GND
Added Pin To Net: NetName=+5 Pin=PJ1-VCC
Added Pin To Net: NetName=GND Pin=PJ12V-GND
Added Pin To Net: NetName=GND Pin=PJ12V-GND
Added Pin To Net: NetName=+12 Pin=PJ12V-VCC
